Ward name,Old code,New code,Population,Children_0-15 ,Children_0-15 %,Area - Square,Population_density, children_obese%, children_obese_year6,Employment_rate ,House_Price,Household_income,no_qualifications%,Crime_rate %,open_space% ,Cars_per_household 
City of London,00AA,E09000001,8100,650,8.0,3.2,2538.1,11.1,23.2,79.6,765000.0,63620.0,6.7,656.4,18.6,0.4
Barking and Dagenham,00ABFX,E05000026,14750,3850,26.0,1.3,10500.0,13.3,24.7,60.3,173000.0,33920.0,16.4,138.1,21.9,0.5
Barking and Dagenham,00ABFY,E05000027,10600,2700,25.7,1.4,7428.6,10.0,26.0,63.1,215000.0,32470.0,31.2,73.6,20.6,0.8
Barking and Dagenham,00ABFZ,E05000028,12700,3200,25.4,1.3,9269.2,12.3,29.3,61.2,210000.0,33000.0,28.0,79.9,1.9,0.9
Barking and Dagenham,00ABGA,E05000029,10400,2550,24.3,3.4,2985.3,12.8,24.6,63.6,240500.0,33920.0,29.1,76.1,56.0,0.9
Barking and Dagenham,00ABGB,E05000030,10750,2150,20.1,3.5,3028.6,12.6,21.6,68.2,240000.0,37400.0,29.9,66.7,50.4,1.1
Barking and Dagenham,00ABGC,E05000031,11900,3000,25.2,1.4,8357.1,11.5,26.5,61.5,220000.0,32870.0,28.9,82.2,17.1,0.8
Barking and Dagenham,00ABGD,E05000032,15850,5100,32.0,1.1,12772.7,16.2,29.0,56.4,200000.0,29480.0,25.5,75.8,20.8,0.5
Barking and Dagenham,00ABGE,E05000033,11450,3000,25.9,1.3,8692.3,16.2,25.2,63.6,205000.0,33250.0,30.0,74.8,14.1,0.8
Barking and Dagenham,00ABGF,E05000034,11150,2900,26.2,2.0,5475.0,15.0,26.0,61.4,215000.0,31340.0,32.1,83.7,36.3,0.7
Barking and Dagenham,00ABGG,E05000035,11900,2600,21.7,1.6,7281.3,11.4,24.9,65.2,312750.0,40570.0,22.7,57.0,28.3,1.1
Barking and Dagenham,00ABGH,E05000036,10550,2850,26.9,1.9,5473.7,12.6,24.3,61.9,212000.0,31530.0,32.1,67.9,44.8,0.8
Barking and Dagenham,00ABGJ,E05000037,10050,2550,25.2,1.2,8250.0,14.8,26.5,61.5,213000.0,31860.0,31.8,56.8,17.4,0.8
Barking and Dagenham,00ABGK,E05000038,11950,3150,26.5,3.6,3166.7,17.2,30.2,64.2,205500.0,33490.0,29.9,85.0,20.5,0.8
Barking and Dagenham,00ABGL,E05000039,18950,6150,32.5,7.9,1867.1,15.6,27.0,60.5,219000.0,32580.0,24.1,95.6,43.8,0.7
Barking and Dagenham,00ABGM,E05000040,10250,2600,25.5,1.3,7692.3,12.2,24.6,63.1,215000.0,33200.0,32.1,68.3,11.8,0.8
Barking and Dagenham,00ABGN,E05000041,11050,2750,24.8,2.1,5166.7,12.9,27.9,61.7,202500.0,31960.0,30.3,90.8,47.0,0.8
Barking and Dagenham,00ABGP,E05000042,11150,2650,23.7,1.6,6781.3,12.8,22.8,67.5,235000.0,37180.0,24.0,72.4,16.0,1.0
Barnet,00ACFX,E05000043,17550,3400,19.5,3.2,5218.8,10.8,16.5,71.4,435000.0,39800.0,17.4,49.4,28.0,1.3
Barnet,00ACFY,E05000044,19650,4750,24.3,2.1,8857.1,11.9,25.3,63.7,250000.0,29400.0,23.6,68.5,18.9,0.8
Barnet,00ACFZ,E05000045,21100,4100,19.5,3.1,6516.1,12.2,16.9,67.9,507500.0,38960.0,13.7,90.5,15.1,0.8
Barnet,00ACGA,E05000046,26600,6100,22.8,2.6,8250.0,12.6,26.0,61.9,302500.0,30170.0,18.0,58.9,19.8,0.8
Barnet,00ACGB,E05000047,18050,3500,19.5,2.7,6425.9,10.0,19.5,71.5,335000.0,38090.0,15.0,75.6,40.3,1.0
Barnet,00ACGC,E05000048,17100,3550,20.6,3.8,4302.6,11.3,22.2,71.5,368000.0,39870.0,17.1,44.0,34.8,1.2
Barnet,00ACGD,E05000049,16850,3250,19.2,2.5,6440.0,7.9,17.3,74.9,437500.0,41160.0,14.1,47.5,37.8,0.8
Barnet,00ACGE,E05000050,17600,4050,22.9,5.6,3017.9,10.9,17.1,69.0,455000.0,38410.0,17.0,71.4,54.0,1.2
Barnet,00ACGF,E05000051,16800,3200,19.0,2.7,5925.9,6.6,11.6,72.6,528000.0,45030.0,12.3,52.0,13.7,1.2
Barnet,00ACGG,E05000052,16950,3450,20.3,4.7,3436.2,6.3,12.5,73.1,825000.0,53090.0,8.2,65.1,24.2,1.2
Barnet,00ACGH,E05000053,24950,6400,25.6,3.0,7150.0,8.7,16.4,66.7,555250.0,40800.0,16.4,61.3,14.6,1.0
Barnet,00ACGJ,E05000054,18250,4100,22.5,5.4,3250.0,11.2,20.6,70.7,397250.0,38590.0,17.8,46.8,48.8,1.2
Barnet,00ACGK,E05000055,19300,4150,21.5,2.8,6625.0,7.4,19.1,66.7,350000.0,38530.0,13.5,72.6,16.4,1.0
Barnet,00ACGL,E05000056,16300,2950,18.1,8.3,1873.5,4.5,16.1,74.5,419422.5,43940.0,13.1,56.3,47.9,1.2
Barnet,00ACGM,E05000057,20000,4350,21.9,9.4,2010.6,11.3,18.2,70.5,520000.0,41920.0,14.0,62.8,59.0,1.3
Barnet,00ACGN,E05000058,16650,3200,19.3,3.3,4833.3,7.8,16.9,73.4,366000.0,41670.0,14.7,49.7,15.3,1.3
Barnet,00ACGP,E05000059,16900,3400,20.2,8.8,1795.5,9.0,17.9,71.6,627750.0,46150.0,13.0,39.7,57.7,1.3
Barnet,00ACGQ,E05000060,17300,3400,19.6,4.6,3554.3,7.9,19.5,68.3,389950.0,37040.0,21.6,57.9,43.8,1.1
Barnet,00ACGR,E05000061,17500,3250,18.6,2.2,7590.9,8.5,14.5,74.2,385000.0,42050.0,12.2,55.2,13.4,0.9
Barnet,00ACGS,E05000062,19250,3950,20.6,3.4,5279.4,9.8,16.5,67.2,346250.0,35090.0,17.8,99.9,32.0,0.9
Barnet,00ACGT,E05000063,18700,3500,18.6,2.6,6846.2,9.1,20.8,72.0,370000.0,38220.0,15.7,69.3,19.3,1.0
Bexley,00ADGA,E05000064,10600,2000,18.7,2.9,3672.4,9.1,24.8,75.8,250000.0,38200.0,23.1,46.5,36.0,1.3
Bexley,00ADGB,E05000065,12400,2900,23.2,3.2,3828.1,11.8,28.4,70.4,179500.0,33510.0,23.7,62.0,33.1,1.0
Bexley,00ADGC,E05000066,10700,1950,18.3,1.7,6352.9,8.5,20.0,77.3,280000.0,40780.0,22.4,28.8,9.5,1.3
Bexley,00ADGD,E05000067,11000,2000,18.0,2.1,5285.7,9.7,15.8,78.2,275000.0,40340.0,21.5,37.7,13.8,1.4
Bexley,00ADGE,E05000068,10600,1750,16.6,2.0,5350.0,6.1,23.7,76.6,315000.0,40790.0,22.9,26.3,9.1,1.3
Bexley,00ADGF,E05000069,11350,2050,18.1,2.5,4500.0,11.8,14.2,77.0,275000.0,40190.0,21.0,97.5,17.3,1.2
Bexley,00ADGG,E05000070,11400,2550,22.3,1.6,7093.8,11.1,26.6,70.2,247000.0,34450.0,25.1,39.5,13.0,1.1
Bexley,00ADGH,E05000071,11950,2500,20.9,4.0,2925.0,10.1,19.6,73.2,231500.0,34900.0,25.3,62.2,41.7,1.1
Bexley,00ADGJ,E05000072,11350,2350,20.8,7.2,1583.3,14.0,25.4,71.4,285000.0,35530.0,25.1,54.3,61.7,1.2
Bexley,00ADGK,E05000073,11000,2000,18.3,2.7,4092.6,11.5,22.9,75.0,265750.0,38580.0,23.0,54.0,36.4,1.2
Bexley,00ADGL,E05000074,11000,2000,18.4,2.2,5022.7,10.9,23.0,73.5,259497.5,36260.0,26.4,40.5,26.8,1.2
Bexley,00ADGM,E05000075,12800,3200,25.1,4.8,2614.6,13.4,29.9,67.6,181000.0,33160.0,23.6,82.3,44.6,1.0
Bexley,00ADGN,E05000076,10950,2000,18.2,1.7,6470.6,10.4,24.9,76.2,280000.0,39000.0,22.1,47.7,0.7,1.3
Bexley,00ADGP,E05000077,11450,2300,20.3,2.4,4791.7,13.3,22.4,69.7,257500.0,35630.0,23.8,59.8,37.0,1.1
Bexley,00ADGQ,E05000078,10600,1750,16.4,2.6,4096.2,8.2,17.4,75.4,250000.0,40880.0,20.9,34.2,28.9,1.2
Bexley,00ADGR,E05000079,11850,3150,26.7,5.7,2070.2,15.2,22.8,63.3,204497.5,29930.0,28.8,81.2,65.3,0.9
Bexley,00ADGS,E05000080,10700,2100,19.5,1.8,5972.2,11.0,22.5,73.6,250000.0,37130.0,23.3,42.1,13.6,1.3
Bexley,00ADGT,E05000081,10550,1850,17.7,4.4,2420.5,8.7,14.4,77.3,315000.0,44010.0,18.9,33.2,46.8,1.4
Bexley,00ADGU,E05000082,11250,2300,20.4,1.4,8071.4,9.1,22.0,75.9,280000.0,38510.0,21.8,30.0,5.9,1.4
Bexley,00ADGW,E05000083,11000,1750,15.9,2.7,4092.6,10.4,18.4,74.0,280000.0,41220.0,19.1,50.5,25.8,1.2
Bexley,00ADGX,E05000084,12550,3500,27.8,4.8,2583.3,17.1,28.0,62.6,190000.0,32100.0,20.8,54.9,70.5,0.8
Brent,00AEGJ,E05000085,15300,3050,19.8,2.1,7047.6,8.3,18.8,67.4,249950.0,31250.0,22.1,69.1,17.7,0.9
Brent,00AEGK,E05000086,16250,3400,20.9,3.0,5366.7,10.8,25.1,64.2,333000.0,34630.0,18.1,64.7,31.6,1.0
Brent,00AEGL,E05000087,13300,2350,17.8,1.7,7794.1,8.3,22.9,71.8,465000.0,40020.0,15.9,70.8,9.7,0.7
Brent,00AEGM,E05000088,13650,3300,24.1,2.3,5934.8,13.2,21.9,61.5,306000.0,30990.0,24.4,67.3,26.6,0.9
Brent,00AEGN,E05000089,15750,3350,21.2,1.7,9117.6,15.6,26.7,65.9,495000.0,33470.0,19.8,88.2,11.6,0.8
Brent,00AEGP,E05000090,14150,2900,20.5,2.7,5129.6,10.5,21.2,66.5,263750.0,35590.0,20.3,58.4,39.3,1.1
Brent,00AEGQ,E05000091,17500,4750,27.3,1.1,15772.7,15.8,29.3,59.3,305500.0,27030.0,24.1,100.3,8.9,0.5
Brent,00AEGR,E05000092,15050,3200,21.1,1.1,13681.8,11.6,27.1,68.8,500000.0,34640.0,19.7,86.6,6.9,0.6
Brent,00AEGS,E05000093,12550,2050,16.2,2.3,5413.0,5.8,21.6,70.3,440000.0,42190.0,17.3,51.3,17.0,1.4
Brent,00AEGT,E05000094,17550,3400,19.5,0.9,19333.3,11.9,25.8,68.9,444631.5,34270.0,17.1,79.3,11.1,0.4
Brent,00AEGU,E05000095,16000,2750,17.2,1.4,11357.1,13.7,21.6,70.6,450000.0,36830.0,14.5,71.8,9.6,0.6
Brent,00AEGW,E05000096,13300,2150,16.0,2.7,4888.9,11.5,20.9,67.4,470000.0,41100.0,13.4,64.7,32.0,1.3
Brent,00AEGX,E05000097,15750,3300,20.8,2.4,6541.7,13.0,23.8,67.0,350000.0,35960.0,17.5,57.9,19.2,1.0
Brent,00AEGY,E05000098,15500,3200,20.5,1.5,10300.0,9.9,17.4,75.8,677500.0,42880.0,13.3,72.9,19.0,0.7
Brent,00AEGZ,E05000099,16800,3350,19.8,2.0,8050.0,10.7,21.5,67.7,366000.0,35110.0,21.4,65.0,13.7,1.2
Brent,00AEHA,E05000100,17600,4700,26.7,4.1,4231.7,17.0,26.5,54.2,249950.0,25800.0,25.9,116.0,16.2,0.6
Brent,00AEHB,E05000101,15250,3250,21.1,2.1,7238.1,10.6,25.9,67.4,249950.0,33530.0,18.1,51.5,34.6,0.9
Brent,00AEHC,E05000102,18900,3800,20.0,2.8,6160.7,13.1,27.2,67.5,322500.0,33130.0,19.4,82.8,19.8,0.9
Brent,00AEHD,E05000103,14000,3000,21.5,2.3,6065.2,11.2,26.6,64.9,292475.0,31620.0,22.6,62.9,34.0,0.9
Brent,00AEHE,E05000104,16150,3100,19.1,1.6,9718.8,9.2,20.4,65.6,250000.0,31040.0,20.7,118.3,20.1,0.8
Brent,00AEHF,E05000105,15950,3050,19.1,1.5,10600.0,15.0,26.7,68.6,409500.0,31390.0,18.5,94.9,36.8,0.5
Bromley,00AFGD,E05000106,15450,3000,19.4,4.9,3132.7,7.3,12.5,76.0,480000.0,47190.0,14.5,36.5,21.5,1.4
Bromley,00AFGE,E05000107,10250,1850,18.0,8.3,1222.9,8.0,14.1,79.2,269950.0,40930.0,18.3,44.8,72.7,1.7
Bromley,00AFGF,E05000108,16250,3350,20.7,8.3,1897.6,10.5,17.8,73.2,350000.0,40510.0,20.5,53.0,58.6,1.3
Bromley,00AFGG,E05000109,18600,3900,20.8,3.7,4797.3,5.8,13.3,78.6,327000.0,43460.0,13.1,139.0,17.6,1.0
Bromley,00AFGH,E05000110,14800,2800,19.1,12.6,1166.7,4.2,11.3,77.3,400000.0,44850.0,16.4,40.3,68.4,1.5
Bromley,00AFGJ,E05000111,15400,2900,18.7,10.4,1461.5,6.0,15.5,75.1,395000.0,46250.0,15.8,55.2,59.1,1.4
Bromley,00AFGK,E05000112,16050,3450,21.6,2.3,6869.6,7.1,16.5,77.7,308750.0,41650.0,15.2,46.0,16.2,1.0
Bromley,00AFGL,E05000113,15950,2500,15.8,3.3,4772.7,7.8,13.3,79.5,315000.0,43170.0,12.1,70.5,16.7,1.0
Bromley,00AFGM,E05000114,15850,3600,22.7,13.3,1176.7,9.1,22.2,69.3,242000.0,32230.0,27.9,102.2,76.2,1.0
Bromley,00AFGN,E05000115,17150,4050,23.6,3.9,4371.8,8.4,18.3,67.4,250000.0,31740.0,28.5,71.5,23.4,1.1
Bromley,00AFGP,E05000116,12950,2700,20.7,2.3,5478.3,9.6,23.8,69.5,250000.0,34060.0,16.9,90.0,49.2,0.6
Bromley,00AFGQ,E05000117,5300,1000,18.4,29.0,181.0,11.4,15.4,75.0,445000.0,42810.0,21.9,43.9,88.5,1.7
Bromley,00AFGR,E05000118,14850,2550,17.3,7.0,2121.4,4.4,15.1,75.1,395000.0,44590.0,18.1,43.0,48.9,1.3
Bromley,00AFGS,E05000119,16250,3000,18.5,10.8,1500.0,7.4,12.0,76.3,441250.0,45660.0,15.7,35.0,68.9,1.4
Bromley,00AFGT,E05000120,16250,3000,18.6,5.2,3105.8,7.1,15.2,75.5,421599.0,44700.0,17.1,59.9,42.7,1.3
Bromley,00AFGU,E05000121,10300,2400,23.1,2.4,4250.0,11.1,22.7,67.9,250000.0,32330.0,26.0,93.0,44.0,1.0
Bromley,00AFGW,E05000122,15650,2900,18.5,4.3,3616.3,9.2,19.5,72.8,340000.0,38090.0,22.3,89.6,24.6,1.2
Bromley,00AFGX,E05000123,17900,3900,21.9,3.0,5883.3,10.4,25.2,70.4,320000.0,36090.0,17.0,89.9,24.9,0.8
Bromley,00AFGY,E05000124,13950,2550,18.3,4.3,3220.9,6.1,9.5,75.4,485000.0,48530.0,15.2,43.0,24.3,1.4
Bromley,00AFGZ,E05000125,15600,3250,20.9,4.0,3850.0,9.2,14.9,73.5,295444.0,39460.0,18.6,48.6,40.3,1.0
Bromley,00AFHA,E05000126,10150,1800,17.7,2.5,4020.0,3.9,11.7,76.3,468000.0,48020.0,12.1,33.8,3.0,1.3
Bromley,00AFHB,E05000127,15250,2600,17.1,4.4,3443.2,6.8,12.0,76.8,475000.0,46210.0,15.2,33.9,31.8,1.4
Camden,00AGGD,E05000128,12800,2300,18.0,0.8,15937.5,10.9,18.7,74.4,850000.0,52680.0,8.4,60.9,1.3,0.6
Camden,00AGGE,E05000129,11700,750,6.5,1.0,11650.0,12.0,28.3,51.4,560000.0,40340.0,7.8,314.1,9.2,0.2
Camden,00AGGF,E05000130,13100,1900,14.6,1.2,10791.7,11.6,16.6,69.4,813500.0,45840.0,11.7,297.0,15.2,0.5
Camden,00AGGG,E05000131,12450,1850,14.8,0.8,15375.0,9.0,20.3,64.3,560000.0,39060.0,13.9,82.5,7.4,0.4
Camden,00AGGH,E05000132,12100,1850,15.2,1.0,12000.0,3.5,20.6,74.6,575000.0,46800.0,9.2,54.2,18.4,0.6
Camden,00AGGJ,E05000133,12250,2000,16.3,1.5,8133.3,,,69.8,955000.0,60310.0,6.1,56.7,5.7,0.8
Camden,00AGGK,E05000134,11500,2100,18.4,0.7,16357.1,10.7,23.4,65.5,599999.0,39990.0,17.8,65.8,15.9,0.5
Camden,00AGGL,E05000135,11400,1950,17.3,2.5,4540.0,,,76.6,1190000.0,62840.0,6.1,82.9,53.9,0.7
Camden,00AGGM,E05000136,12750,2400,18.7,0.7,18000.0,12.0,25.9,62.9,547305.0,35730.0,18.6,87.6,8.2,0.4
Camden,00AGGN,E05000137,11150,1850,16.4,3.2,3484.4,5.3,13.5,70.4,650000.0,47840.0,12.6,81.0,65.2,0.7
Camden,00AGGP,E05000138,13700,1750,12.7,1.2,11250.0,9.0,25.5,61.9,685000.0,40180.0,12.9,311.0,7.5,0.3
Camden,00AGGQ,E05000139,13850,2150,15.4,1.0,13750.0,6.5,19.3,71.3,630100.0,41230.0,13.6,89.0,5.3,0.4
Camden,00AGGR,E05000140,12350,2200,17.7,0.7,17500.0,13.4,22.1,66.8,468000.0,34730.0,17.4,110.7,13.4,0.4
Camden,00AGGS,E05000141,12550,1600,12.8,0.6,20833.3,10.9,21.2,46.1,625000.0,32890.0,12.1,122.4,13.5,0.2
Camden,00AGGT,E05000142,14700,2200,14.8,1.3,10961.5,12.6,26.1,54.4,600000.0,34260.0,17.5,131.3,27.0,0.4
Camden,00AGGU,E05000143,16200,2850,17.7,1.4,10785.7,12.3,24.5,53.0,465000.0,30500.0,22.7,93.5,13.6,0.3
Camden,00AGGW,E05000144,13200,2200,16.8,1.3,10076.9,13.8,22.2,72.3,740500.0,50340.0,9.0,70.0,14.5,0.6
Camden,00AGGX,E05000145,12550,1650,13.1,0.9,13722.2,6.1,16.0,76.2,622500.0,46290.0,9.5,77.6,9.4,0.5
Croydon,00AHGE,E05000146,17750,3550,19.9,1.6,10843.8,10.3,21.6,74.1,250000.0,38070.0,15.3,61.0,2.3,0.7
Croydon,00AHGF,E05000147,15150,2950,19.5,2.7,5555.6,11.5,23.2,71.7,347000.0,38600.0,19.5,58.1,22.2,1.1
Croydon,00AHGG,E05000148,16600,4000,24.1,1.4,11750.0,13.2,24.4,67.5,246250.0,33530.0,17.9,64.4,7.8,0.8
Croydon,00AHGH,E05000149,20050,5300,26.4,2.7,7185.2,11.5,25.5,64.6,231000.0,31000.0,20.2,151.3,4.6,0.7
Croydon,00AHGJ,E05000150,12700,2350,18.4,7.7,1629.9,9.4,17.4,73.9,375000.0,42660.0,18.2,34.9,56.8,1.4
Croydon,00AHGK,E05000151,14150,2600,18.4,5.0,2770.0,9.6,19.7,75.5,361000.0,46610.0,15.1,46.7,17.1,1.5
Croydon,00AHGL,E05000152,16200,3250,20.2,3.5,4614.3,8.9,19.1,76.5,250000.0,42260.0,12.0,57.3,19.1,1.0
Croydon,00AHGM,E05000153,21750,4200,19.2,3.8,5065.8,10.2,24.8,73.1,236000.0,39130.0,12.3,215.9,17.5,0.6
Croydon,00AHGN,E05000154,11850,3500,29.6,1.5,7800.0,13.9,24.6,58.5,220000.0,26720.0,34.4,61.8,22.9,0.8
Croydon,00AHGP,E05000155,13600,2450,18.2,8.7,1551.7,10.6,17.8,74.3,260000.0,39770.0,17.2,70.7,61.3,1.3
Croydon,00AHGQ,E05000156,15650,3250,20.9,6.5,2369.2,4.5,14.7,75.0,340000.0,44160.0,14.6,35.9,39.6,1.3
Croydon,00AHGR,E05000157,11250,2750,24.6,2.4,4604.2,11.3,27.8,64.4,245000.0,28770.0,34.8,70.0,31.2,1.0
Croydon,00AHGS,E05000158,17100,3550,20.8,2.5,6740.0,11.2,23.5,69.5,350000.0,36810.0,16.2,54.2,15.8,1.0
