Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,% All Children aged 0-15 - 2015,Area - Square Kilometres,Population density (persons per sq km) - 2013,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (? - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,Crime rate - 2014/15,% area that is open space - 2014,Cars per household - 2011
City of London,00AA,E09000001,8100,650,8.0,3.2,2538.1,11.1,23.2,4555,79.6,765000.0,309,63620.0,5530,0.4,0.2,1.4,98.0,42.3,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,9.5,0.9,24.2,551.0,20.0,354.5,0.7,6.7,656.4,18.6,0.4
Barking and Dagenham - Abbey,00ABFX,E05000026,14750,3850,26.0,1.3,10500.0,13.3,24.7,5444,60.3,173000.0,151,33920.0,4753,3.9,7.2,22.6,66.3,32.7,26.7,38.6,45.2,54.8,0.0,15.1,16.1,4.2,4.0,22.1,8.7,55.3,166.0,85.7,317.7,1.4,16.4,138.1,21.9,0.5
Barking and Dagenham - Alibon,00ABFY,E05000027,10600,2700,25.7,1.4,7428.6,10.0,26.0,4143,63.1,215000.0,119,32470.0,4045,3.8,18.2,63.8,14.2,45.1,36.8,15.9,9.7,90.3,0.0,20.7,17.7,7.3,3.7,24.7,12.4,61.0,124.0,100.0,307.4,1.5,31.2,73.6,20.6,0.8
Barking and Dagenham - Becontree,00ABFZ,E05000028,12700,3200,25.4,1.3,9269.2,12.3,29.3,4598,61.2,210000.0,191,33000.0,4378,4.2,24.7,52.0,19.1,46.7,29.4,20.1,13.4,86.6,0.0,17.8,16.4,6.5,3.6,22.0,10.7,51.5,185.0,100.0,295.5,1.5,28.0,79.9,1.9,0.9
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,10400,2550,24.3,3.4,2985.3,12.8,24.6,3819,63.6,240500.0,108,33920.0,4062,3.8,29.6,32.2,34.5,54.0,32.0,12.4,33.8,65.9,0.2,19.4,15.1,5.9,3.7,24.3,10.1,55.2,96.0,100.0,293.4,1.6,29.1,76.1,56.0,0.9
Barking and Dagenham - Eastbrook,00ABGB,E05000030,10750,2150,20.1,3.5,3028.6,12.6,21.6,4592,68.2,240000.0,129,37400.0,3977,3.2,32.6,45.5,18.4,67.6,20.0,11.2,14.8,84.7,0.5,14.7,12.1,4.6,4.0,20.4,6.7,48.7,288.0,100.0,305.9,1.2,29.9,66.7,50.4,1.1
Barking and Dagenham - Eastbury,00ABGC,E05000031,11900,3000,25.2,1.4,8357.1,11.5,26.5,4546,61.5,220000.0,105,32870.0,4321,5.0,21.0,52.5,21.5,44.0,37.4,17.3,18.9,81.1,0.0,18.1,16.9,5.7,3.6,22.3,11.1,52.5,135.0,100.0,315.7,1.4,28.9,82.2,17.1,0.8
Barking and Dagenham - Gascoigne,00ABGD,E05000032,15850,5100,32.0,1.1,12772.7,16.2,29.0,4382,56.4,200000.0,87,29480.0,4711,2.2,6.8,19.5,71.4,23.7,54.0,18.3,59.4,40.6,0.0,19.5,20.1,5.3,4.1,22.9,14.7,57.2,37.0,100.0,300.7,1.3,25.5,75.8,20.8,0.5
Barking and Dagenham - Goresbrook,00ABGE,E05000033,11450,3000,25.9,1.3,8692.3,16.2,25.2,4544,63.6,205000.0,109,33250.0,4296,4.8,17.4,62.5,15.3,43.1,37.3,15.8,11.2,88.8,0.0,18.9,17.7,6.2,3.5,23.9,11.1,57.3,142.0,100.0,302.2,1.2,30.0,74.8,14.1,0.8
Barking and Dagenham - Heath,00ABGF,E05000034,11150,2900,26.2,2.0,5475.0,15.0,26.0,4043,61.4,215000.0,105,31340.0,4418,2.9,18.9,41.9,36.4,41.6,45.3,11.3,36.2,63.8,0.0,21.3,19.6,6.7,3.9,23.4,11.7,55.4,91.0,100.0,297.3,1.1,32.1,83.7,36.3,0.7
