Ward name,Old code,New code,Population,Children_0-15 ,Children_0-15 %,Area - Square,Population_density, children_obese%, children_obese_year6,Employment_rate ,House_Price,Household_income,no_qualifications%,Crime_rate %,open_space% ,Cars_per_household 
City of London,00AA,E09000001,8100,650,8,3.2,2538.1,11.1,23.2,79.6,765000,63620,6.7,656.4,18.6,0.4
Barking and Dagenham - Abbey,00ABFX,E05000026,14750,3850,26,1.3,10500,13.3,24.7,60.3,173000,33920,16.4,138.1,21.9,0.5
Barking and Dagenham - Alibon,00ABFY,E05000027,10600,2700,25.7,1.4,7428.6,10,26,63.1,215000,32470,31.2,73.6,20.6,0.8
Barking and Dagenham - Becontree,00ABFZ,E05000028,12700,3200,25.4,1.3,9269.2,12.3,29.3,61.2,210000,33000,28,79.9,1.9,0.9
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,10400,2550,24.3,3.4,2985.3,12.8,24.6,63.6,240500,33920,29.1,76.1,56,0.9
Barking and Dagenham - Eastbrook,00ABGB,E05000030,10750,2150,20.1,3.5,3028.6,12.6,21.6,68.2,240000,37400,29.9,66.7,50.4,1.1
Barking and Dagenham - Eastbury,00ABGC,E05000031,11900,3000,25.2,1.4,8357.1,11.5,26.5,61.5,220000,32870,28.9,82.2,17.1,0.8
Barking and Dagenham - Gascoigne,00ABGD,E05000032,15850,5100,32,1.1,12772.7,16.2,29,56.4,200000,29480,25.5,75.8,20.8,0.5
Barking and Dagenham - Goresbrook,00ABGE,E05000033,11450,3000,25.9,1.3,8692.3,16.2,25.2,63.6,205000,33250,30,74.8,14.1,0.8
Barking and Dagenham - Heath,00ABGF,E05000034,11150,2900,26.2,2,5475,15,26,61.4,215000,31340,32.1,83.7,36.3,0.7
Barking and Dagenham - Longbridge,00ABGG,E05000035,11900,2600,21.7,1.6,7281.3,11.4,24.9,65.2,312750,40570,22.7,57,28.3,1.1
Barking and Dagenham - Mayesbrook,00ABGH,E05000036,10550,2850,26.9,1.9,5473.7,12.6,24.3,61.9,212000,31530,32.1,67.9,44.8,0.8
Barking and Dagenham - Parsloes,00ABGJ,E05000037,10050,2550,25.2,1.2,8250,14.8,26.5,61.5,213000,31860,31.8,56.8,17.4,0.8
Barking and Dagenham - River,00ABGK,E05000038,11950,3150,26.5,3.6,3166.7,17.2,30.2,64.2,205500,33490,29.9,85,20.5,0.8
Barking and Dagenham - Thames,00ABGL,E05000039,18950,6150,32.5,7.9,1867.1,15.6,27,60.5,219000,32580,24.1,95.6,43.8,0.7
Barking and Dagenham - Valence,00ABGM,E05000040,10250,2600,25.5,1.3,7692.3,12.2,24.6,63.1,215000,33200,32.1,68.3,11.8,0.8
Barking and Dagenham - Village,00ABGN,E05000041,11050,2750,24.8,2.1,5166.7,12.9,27.9,61.7,202500,31960,30.3,90.8,47,0.8
Barking and Dagenham - Whalebone,00ABGP,E05000042,11150,2650,23.7,1.6,6781.3,12.8,22.8,67.5,235000,37180,24,72.4,16,1
Barnet - Brunswick Park,00ACFX,E05000043,17550,3400,19.5,3.2,5218.8,10.8,16.5,71.4,435000,39800,17.4,49.4,28,1.3
Barnet - Burnt Oak,00ACFY,E05000044,19650,4750,24.3,2.1,8857.1,11.9,25.3,63.7,250000,29400,23.6,68.5,18.9,0.8
Barnet - Childs Hill,00ACFZ,E05000045,21100,4100,19.5,3.1,6516.1,12.2,16.9,67.9,507500,38960,13.7,90.5,15.1,0.8
Barnet - Colindale,00ACGA,E05000046,26600,6100,22.8,2.6,8250,12.6,26,61.9,302500,30170,18,58.9,19.8,0.8
Barnet - Coppetts,00ACGB,E05000047,18050,3500,19.5,2.7,6425.9,10,19.5,71.5,335000,38090,15,75.6,40.3,1
Barnet - East Barnet,00ACGC,E05000048,17100,3550,20.6,3.8,4302.6,11.3,22.2,71.5,368000,39870,17.1,44,34.8,1.2
Barnet - East Finchley,00ACGD,E05000049,16850,3250,19.2,2.5,6440,7.9,17.3,74.9,437500,41160,14.1,47.5,37.8,0.8
Barnet - Edgware,00ACGE,E05000050,17600,4050,22.9,5.6,3017.9,10.9,17.1,69,455000,38410,17,71.4,54,1.2
Barnet - Finchley Church End,00ACGF,E05000051,16800,3200,19,2.7,5925.9,6.6,11.6,72.6,528000,45030,12.3,52,13.7,1.2
Barnet - Garden Suburb,00ACGG,E05000052,16950,3450,20.3,4.7,3436.2,6.3,12.5,73.1,825000,53090,8.2,65.1,24.2,1.2
Barnet - Golders Green,00ACGH,E05000053,24950,6400,25.6,3,7150,8.7,16.4,66.7,555250,40800,16.4,61.3,14.6,1
Barnet - Hale,00ACGJ,E05000054,18250,4100,22.5,5.4,3250,11.2,20.6,70.7,397250,38590,17.8,46.8,48.8,1.2
Barnet - Hendon,00ACGK,E05000055,19300,4150,21.5,2.8,6625,7.4,19.1,66.7,350000,38530,13.5,72.6,16.4,1
Barnet - High Barnet,00ACGL,E05000056,16300,2950,18.1,8.3,1873.5,4.5,16.1,74.5,419422.5,43940,13.1,56.3,47.9,1.2
Barnet - Mill Hill,00ACGM,E05000057,20000,4350,21.9,9.4,2010.6,11.3,18.2,70.5,520000,41920,14,62.8,59,1.3
Barnet - Oakleigh,00ACGN,E05000058,16650,3200,19.3,3.3,4833.3,7.8,16.9,73.4,366000,41670,14.7,49.7,15.3,1.3
Barnet - Totteridge,00ACGP,E05000059,16900,3400,20.2,8.8,1795.5,9,17.9,71.6,627750,46150,13,39.7,57.7,1.3
Barnet - Underhill,00ACGQ,E05000060,17300,3400,19.6,4.6,3554.3,7.9,19.5,68.3,389950,37040,21.6,57.9,43.8,1.1
Barnet - West Finchley,00ACGR,E05000061,17500,3250,18.6,2.2,7590.9,8.5,14.5,74.2,385000,42050,12.2,55.2,13.4,0.9
Barnet - West Hendon,00ACGS,E05000062,19250,3950,20.6,3.4,5279.4,9.8,16.5,67.2,346250,35090,17.8,99.9,32,0.9
Barnet - Woodhouse,00ACGT,E05000063,18700,3500,18.6,2.6,6846.2,9.1,20.8,72,370000,38220,15.7,69.3,19.3,1
Bexley - Barnehurst,00ADGA,E05000064,10600,2000,18.7,2.9,3672.4,9.1,24.8,75.8,250000,38200,23.1,46.5,36,1.3
Bexley - Belvedere,00ADGB,E05000065,12400,2900,23.2,3.2,3828.1,11.8,28.4,70.4,179500,33510,23.7,62,33.1,1
Bexley - Blackfen and Lamorbey,00ADGC,E05000066,10700,1950,18.3,1.7,6352.9,8.5,20,77.3,280000,40780,22.4,28.8,9.5,1.3
Bexley - Blendon and Penhill,00ADGD,E05000067,11000,2000,18,2.1,5285.7,9.7,15.8,78.2,275000,40340,21.5,37.7,13.8,1.4
Bexley - Brampton,00ADGE,E05000068,10600,1750,16.6,2,5350,6.1,23.7,76.6,315000,40790,22.9,26.3,9.1,1.3
Bexley - Christchurch,00ADGF,E05000069,11350,2050,18.1,2.5,4500,11.8,14.2,77,275000,40190,21,97.5,17.3,1.2
Bexley - Colyers,00ADGG,E05000070,11400,2550,22.3,1.6,7093.8,11.1,26.6,70.2,247000,34450,25.1,39.5,13,1.1
Bexley - Crayford,00ADGH,E05000071,11950,2500,20.9,4,2925,10.1,19.6,73.2,231500,34900,25.3,62.2,41.7,1.1
Bexley - Cray Meadows,00ADGJ,E05000072,11350,2350,20.8,7.2,1583.3,14,25.4,71.4,285000,35530,25.1,54.3,61.7,1.2
Bexley - Danson Park,00ADGK,E05000073,11000,2000,18.3,2.7,4092.6,11.5,22.9,75,265750,38580,23,54,36.4,1.2
Bexley - East Wickham,00ADGL,E05000074,11000,2000,18.4,2.2,5022.7,10.9,23,73.5,259497.5,36260,26.4,40.5,26.8,1.2
Bexley - Erith,00ADGM,E05000075,12800,3200,25.1,4.8,2614.6,13.4,29.9,67.6,181000,33160,23.6,82.3,44.6,1
Bexley - Falconwood and Welling,00ADGN,E05000076,10950,2000,18.2,1.7,6470.6,10.4,24.9,76.2,280000,39000,22.1,47.7,0.7,1.3
Bexley - Lesnes Abbey,00ADGP,E05000077,11450,2300,20.3,2.4,4791.7,13.3,22.4,69.7,257500,35630,23.8,59.8,37,1.1
Bexley - Longlands,00ADGQ,E05000078,10600,1750,16.4,2.6,4096.2,8.2,17.4,75.4,250000,40880,20.9,34.2,28.9,1.2
Bexley - North End,00ADGR,E05000079,11850,3150,26.7,5.7,2070.2,15.2,22.8,63.3,204497.5,29930,28.8,81.2,65.3,0.9
Bexley - Northumberland Heath,00ADGS,E05000080,10700,2100,19.5,1.8,5972.2,11,22.5,73.6,250000,37130,23.3,42.1,13.6,1.3
Bexley - St. Mary's,00ADGT,E05000081,10550,1850,17.7,4.4,2420.5,8.7,14.4,77.3,315000,44010,18.9,33.2,46.8,1.4
